image,caption
1075881101_d55c46bece.jpg,a boy cleans the bubbles off his face .
1077546505_a4f6c4daa9.jpg,A boy in blue shorts slides down a slide into a pool .
1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .
1079274291_9aaf896cc1.jpg,A little boy sticks his tongue out for the camera . Another boy looks on .
10815824_2997e03d76.jpg,A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .
1082252566_8c79beef93.jpg,"A bulldog , a sheep dog , and a boxer standing in a yard ."
1082379191_ec1e53f996.jpg,A lady and a man with no shirt sit on a dock .
1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws .
1084104085_3b06223afe.jpg,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
1087168168_70280d024a.jpg,A boy is jumping on an inflatable ring and a girl is watching him
1087539207_9f77ab3aaf.jpg,A family playing on a tractor on a beautiful day
1088767354_2acee738cf.jpg,A woman in a red costume to the left of a man and woman standing together .
108898978_7713be88fc.jpg,Skiiers walking up the hill through a forest .
108899015_bf36131a57.jpg,A lone skier is making their way up a mountain .
1089181217_ee1167f7af.jpg,a brown dog running down a paved pathway
1089755335_0bfbfd30e6.jpg,A mother and children is fishing on a boardwalk at night .
109202756_b97fcdc62c.jpg,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
109202801_c6381eef15.jpg,Two draft horses pull a cart through the snow .
109260216_85b0be5378.jpg,A person climbing down a sheer rock cliff using a rope
109260218_fca831f933.jpg,People stand inside a rock dome .
1093716555_801aacef79.jpg,a group of backpackers lay on the dry ground .
1093737381_b313cd49ff.jpg,A woman in a blue dress stands with a chalk portrait of two children playing by a stream .
1094462889_f9966dafa6.jpg,A brown dog plays in a deep pile of snow .
1095476286_87d4f8664e.jpg,A boy jumping in a fountain .
1095580424_76f0aa8a3e.jpg,A Corgi runs out of a tunnel .
1095590286_c654f7e5a9.jpg,A blond dog and a black and white dog run in a dirt field .
1095980313_3c94799968.jpg,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .
1096097967_ac305887b4.jpg,A black and white dog drinking water from a water spray .
1096165011_cc5eb16aa6.jpg,a boy smiles underwater .
1096395242_fc69f0ae5a.jpg,A boy with a toy gun .
109671650_f7bbc297fa.jpg,A boy in yellow shorts is standing on top of a cliff .
109738763_90541ef30d.jpg,A person on a snowmobile in mid jump .
109738916_236dc456ac.jpg,People are riding around on snowmobiles .
109823394_83fcb735e1.jpg,Three people drive ATVs .
109823395_6fb423a90f.jpg,A four wheeler jumping in an empty field .
109823397_e35154645f.jpg,A man jumps gin the air while riding an ATV
1100214449_d10861e633.jpg,A boy in s striped shirt is jumping in front of a water fountain .
1104133405_c04a00707f.jpg,A boy carrying a soccer ball .
1105959054_9c3a738096.jpg,A child painting a picture .
110595925_f3395c8bd6.jpg,A cyclist is riding a bicycle on a curved road up a hill .
1107246521_d16a476380.jpg,a black dog jumping to catch a rope toy
1107471216_4336c9b328.jpg,A little girl is holding a cine camera in front of her face .
1110208841_5bb6806afe.jpg,A black and white Border Collie catches a Frisbee in front of an audience .
1112212364_0c48235fc2.jpg,A baby is sitting on and playing with smooth rocks .
111497985_38e9f88856.jpg,A kid rock climbing against the backdrop of a green valley
111537217_082a4ba060.jpg,A man climbing a rock wall
111537222_07e56d5a30.jpg,A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .
1115565519_d976d4b1f1.jpg,A child playing with a fountain at the beach .
1115679311_245eff2f4b.jpg,A black dog is jumping over a log along a beach .
111766423_4522d36e56.jpg,A black and white bird eating seeds out of someone 's hand
1117972841_2b9261f95f.jpg,A brown dog is running in the sand .
1118557877_736f339752.jpg,A little boy stands in the surf .
1119015538_e8e796281e.jpg,A little tan dog with large ears running through the grass .
1119418776_58e4b93eac.jpg,A black and white dog is running through the field .
1119463452_69d4eecd08.jpg,A girl in a pink swimsuit in a pool
1121416483_c7902d0d49.jpg,A child is standing on her head .
112178718_87270d9b4d.jpg,A guy stands in the sand with a snowboard behind him .
112243673_fd68255217.jpg,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees .
1122944218_8eb3607403.jpg,A baby in a white garment holds a flag with crescent moon and star .
1124448967_2221af8dc5.jpg,A half naked man is sleeping on his chair outdoors .
1129704496_4a61441f2c.jpg,A brown and white and a black and white dog hauling in a floating toy from the ocean .
1130017585_1a219257ac.jpg,"There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair ."
1130369873_d80a1aa59c.jpg,A brown dog is running through neck-deep water carrying a tennis ball .
1130401779_8c30182e3e.jpg,Two brown dogs are creating large splashes as they run in a river .
1131155939_b4b457b05e.jpg,A black dog runs into the ocean next to a pile of seaweed .
1131340021_83f46b150a.jpg,A young boy runs while wearing sandals .
1131800850_89c7ffd477.jpg,A brown and white dog stands outside while it snows .
1131804997_177c3c0640.jpg,Two men are sitting on the ground and going through their backpacks .
1131932671_c8d17751b3.jpg,A boy is jumping on a bed .
1132772170_600610c5df.jpg,A child leaping from bed to bed behind the back of a man .
113678030_87a6a6e42e.jpg,A snowboarder sits on a slope with skiers and boarders nearby .
1138784872_69ade3f2ab.jpg,A girl in green walks down a city street .
114051287_dd85625a04.jpg,A boy dressed in soccer attire and holding his shoes getting out of a car .
1141718391_24164bf1b1.jpg,"A bridge through high green plants , a man and a woman on it ."
1141739219_2c47195e4c.jpg,A family gathered at a painted van
1142283988_6b227c5231.jpg,A blond woman poses with a person in a pink costume .
1142847777_2a0c1c2551.jpg,A bicyclist riding on a city street .
1143373711_2e90b7b799.jpg,A bicycle rider is crossing a street .
1143882946_1898d2eeb9.jpg,A lady wearing a helmet holding a bike .
1144288288_e5c9558b6a.jpg,A man in shorts is jogging along a street with a headset .
1148238960_f8cacec2fc.jpg,Bicyclists are standing at an intersection .
1149179852_acad4d7300.jpg,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
114949897_490ca7eaec.jpg,A boy hits a ball off of a tee ball into to net .
1151466868_3bc4d9580b.jpg,A small girl spins in the waves in the bright sun .
1153704539_542f7aa3a5.jpg,A girl playing trumpet in a marching band .
1155138244_859fd6e079.jpg,A girl hands out Starbucks samples at a street fair .
115684808_cb01227802.jpg,Three men are setting up a sledge on a snowy plain .
1159574340_99ba8c3c59.jpg,A child jumping into a lake in a wooded area while another child plays on the shore .
1160034462_16b38174fe.jpg,A elderly man in a straw hat is sitting on a bench .
1160441615_fe6b3c5277.jpg,Three girls are walking across a bridge covered with wood and surrounded by trees .
1163282319_b729b24c46.jpg,"A girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside ."
116409198_0fe0c94f3b.jpg,A man eats near a tent in the snow .
1164131282_b30926f332.jpg,A grey dog beside a black and white dog running in green grass .
1164765687_7aca07bbe7.jpg,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
1167662968_e466f1e80a.jpg,A guy with a nose piercing .
1167669558_87a8a467d6.jpg,A man in yellow grimaces .
1167908324_8caab45e15.jpg,A man is standing by a group of video games in a bar .
1169307342_e7a4685a5c.jpg,A big brown dog plays with a smaller grey dog on the grass .
1174525839_7c1e6cfa86.jpg,A girl in blue is jumping on the shore as small waves approach her .
1174629344_a2e1a2bdbf.jpg,A crowd of people walk down a busy sidewalk .
1176580356_9810d877bf.jpg,A big dog catches a ball on his nose
1177994172_10d143cb8d.jpg,"Two blonde boys , one in a camouflage shirt and the other in blue , are having a water fight ."
1178705300_c224d9a4f1.jpg,a brown dog jumping into a pool after a bloe ball .
118187095_d422383c81.jpg,Parents are pushing little children in red car carts .
118309463_a532b75be9.jpg,A boys baseball team wear their uniforms .
1184967930_9e29ce380d.jpg,A brown dog running through the grass and flowers .
1187435567_18173c148b.jpg,A small brown and black dog
1187593464_ce862352c6.jpg,A big tan dog runs on grass with a big stick in his mouth .
1189977786_4f5aaed773.jpg,A dog jumping into a swimming pool .
1191338263_a4fa073154.jpg,A little old lady sitting next to an advertisement .
1193116658_c0161c35b5.jpg,A girl rides a unicycle as another rides a scooter next to her .
119534510_d52b3781a3.jpg,A man in a brown shirt sitting on a dock and reading .
1197800988_7fb0ca4888.jpg,a person sits at a table behind a tree .
1198194316_543cc7b945.jpg,a couple walking along on a sidewalk
1204996216_71d7519d9a.jpg,A boy lays on a picnic table bench .
1206506157_c7956accd5.jpg,Dogs fight in grass over toy .
1207159468_425b902bfb.jpg,A boy and a person suspended above a dome structure .
1211015912_9f3ee3a995.jpg,A girl in a brown dress surrounded by children closes her eyes .
1213336750_2269b51397.jpg,A man in a black jacket is taking a photo of a man in a red jacket .
1215334959_b1970965f7.jpg,A family sits on a bench near a beach .
121800200_bef08fae5f.jpg,A group of climbers begin up a sheer rock face .
121971540_0a986ee176.jpg,two men cleaning the outside windows of a yacht
1220401002_3f44b1f3f7.jpg,Two children are laughing in the grass .
1222322358_225067636e.jpg,A boy in a red and white shirt is on a swing .
1224851143_33bcdd299c.jpg,A boy eats with a spoon .
1225443522_1633e7121f.jpg,A girl walking alone at night on a street .
1227655020_b11a1bb112.jpg,A black dog and a brown dog playing in tall weeds .
1229756013_94663527d7.jpg,A brown dog jumping in the air on a brown plain .
1231229740_8dcbf80bfb.jpg,A child in gray clothes is sleeping on a red cushion .
1232148178_4f45cc3284.jpg,A baby girl playing at a park .
1234293791_6566284bcd.jpg,A girl in a helmet rides a horse .
1234817607_924893f6e1.jpg,a Korean man sells soda .
1235580648_7eebaed9bc.jpg,The hatted males pose for a picture .
1235681222_819231767a.jpg,A person in a blue shirt sits behind two people sitting on a wood bench .
1235685934_be89b231fb.jpg,A man in sunglasses on an overpass .
1236951314_0308dc4138.jpg,A boy in a wetsuit jumps into a pool with a bald man .
1236964638_1808784a3c.jpg,A boy flips off a diving board into a pool .
1237985362_dbafc59280.jpg,A lady holds a little girl who is trying to catch bubbles .
123889082_d3751e0350.jpg,A brown dog biting a gray dogs ear .
123997871_6a9ca987b1.jpg,Girls wearing sports uniforms and eye protection .
1240297429_c36ae0c58f.jpg,A dog in a number six jersey is running through a field .
124195430_d14028660f.jpg,A brown horse and a black foal on the beach
1244140539_da4804d828.jpg,A black and brown dog is laying on a white shaggy carpet .
1244306891_8e78ae1620.jpg,smiling girls in bathing suits sitting on the sand
1244485675_822e6efe60.jpg,A boy in a grey and white shirt looking at his reflection .
1245022983_fb329886dd.jpg,A child in all pink is posing nearby a stroller with buildings in the distance .
1247181182_35cabd76f3.jpg,a man sits on a rock .
1248357227_2b4175fc39.jpg,The kids play in the wooded area near the water .
1248734482_3038218f3b.jpg,A close-up of a young girl with a pink shirt laying on grass .
124881487_36e668145d.jpg,A man on bicycle riding down a rocky hill .
1248940539_46d33ed487.jpg,Three children are playing in sand near to the beach .
1248953128_24c9f8d924.jpg,A little girl in a colorful dress is playing with a blue and red soccer ball .
124972799_de706b6d0b.jpg,A cat under the bench hissing with a dog growling and trying to get it .
1251558317_4ef844b775.jpg,An adult and a child sitting on a police motorcycle .
1252396628_eb81d3905b.jpg,A man in a red biker suit on a red dirt bike going down a muddy road .
1252787177_4b08625897.jpg,People walk by a display of underwear hanging in a stall .
125319704_49ead3463c.jpg,Person standing beside bike in stream .
1253264731_e7c689eca5.jpg,A girl in a coral shirt with glasses is smiling while leaning against a fence .
1253275679_e955fb7304.jpg,A boy has his head down and is wearing a shirt that says ADHD .
1255504166_f2437febcb.jpg,A boy playing in a lake
1258913059_07c613f7ff.jpg,A couple of people sit outdoors at a table with an umbrella and talk .
1259936608_e3f0064f23.jpg,A little girl with arms outstretched plays with others at a sprinkler park .
1260816604_570fc35836.jpg,A person drives in a red car .
1262077938_8b9516c273.jpg,A girl with a black purse sitting on a wooden bench .
1262454669_f1caafec2d.jpg,A girl in a white shirt is sitting on a park bench with a dog next to her .
1262583859_653f1469a9.jpg,a biker enjoys a coffee .
1263126002_881ebd7ac9.jpg,A baby girl is attempting to climb out of her green crib
1263801010_5c74bf1715.jpg,A man in a red jacket looking out over snow-covered mountains .
1267711451_e2a754b4f8.jpg,A black and white dog carrying a large stick
1269470943_ba7fc49b4d.jpg,A boy in blue with a football sprawls in the grass .
1271210445_7f7ecf3791.jpg,girls seated at table with a candle covered with lit candles
1271960365_e54033f883.jpg,A black dog runs after another black dog who is carrying a ball .
1273001772_1585562051.jpg,About 12 kids and a few adults get splashed by an off camera source .
127450902_533ceeddfc.jpg,A winter landscape with four people walking in the snow .
127488876_f2d2a89588.jpg,"One man in red shirt and black pants with a man in white shirt and tan shorts , golfing ."
127490019_7c5c08cb11.jpg,A girl is getting ready to swing the club .
1277185009_06478dd457.jpg,A man standing on a rocky mountain with gray clouds in the background .
1277743944_f4e8c78403.jpg,"A boy dressed in khaki shorts and a red shirt runs on a beach with green , white and blue structures and a half moon behind him ."
1280147517_98767ca3b3.jpg,A boat on a lake .
1280320287_b2a4b9b7bd.jpg,A man is pulled behind a boat on a knee board while another doing the same begins to fall .
1282392036_5a0328eb86.jpg,A group of people in costume at a renaissance fair .
12830823_87d2654e31.jpg,Children sit and watch the fish moving in the pond
1285067106_2adc307240.jpg,a boy in white plays baseball .
1285874746_486731a954.jpg,a african-american woman stands in the crowd .
1286408831_05282582ed.jpg,A boy with his mouth open and tongue sticking out clinging to a bar next to a platform .
1287064529_aa4e4f3c31.jpg,A black and tan dog in the snow
1287073593_f3d2a62455.jpg,A group of dogs pull a person on a dog sled up a hill .
1287475186_2dee85f1a5.jpg,A boy sitting in water .
1287920676_d21a0b289b.jpg,A snow dog in a red harness .
1287931016_fb015e2e10.jpg,A black and a white dog on the snow .
1287982439_6578006e22.jpg,A big brown dog is jumping in the water and has his mouth wide open .
1288909046_d2b2b62607.jpg,a brown dog is leaping into a garden swimming pool .
128912885_8350d277a4.jpg,A dog jumps for a red ball on the grass .
1289142574_2bd6a082dd.jpg,A boy jumps from one picnic table to another .
1290894194_8a4ffdc7eb.jpg,A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk .
1294578091_2ad02fea91.jpg,A female artist showing her painting and signing a paper .
1295669416_21cabf594d.jpg,A girl dressed in a red and black top with black pants is sitting on a wall .
1295671216_cde1b9c9d1.jpg,"A crowd of people are standing together on a sidewalk , while one man is taking a picture ."
1295698260_e10c53c137.jpg,"A crowd of people look at something out of frame , one man takes a picture ."
129599450_cab4e77343.jpg,A backpacker in the mountains wearing an american flag .
1296412797_85b6d2f8d6.jpg,A child is being swung by her arms while another child watches .
1296770308_3db2022f5a.jpg,A girl sits on a bar stool .
1298295313_db1f4c6522.jpg,A blonde boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .
1298866571_b4c496b71c.jpg,a asian man gives an evil eye to the camera .
1299459550_1fd5594fa2.jpg,A boy in swimming trunks .
1299459562_ed0e064aee.jpg,"Three boys in baggy bathing suits play in splashing water in front a of grey , block wall ."
1301140633_046e4e8010.jpg,a boy in a blue shirt with dirt on his face
130211457_be3f6b335d.jpg,A girl in a red and black leotard with white writing is standing next to a man in a cap and a girl in a hot pink and black and white checkered outfit .
1302657647_46b36c0d66.jpg,A man hanging from bars outdoors
1303335399_b3facd47ab.jpg,A baby boy wearing a shoulder life saver is at the very edge of an orange pool slide .
1303548017_47de590273.jpg,A girl poses on the train tracks near a station
1303550623_cb43ac044a.jpg,A girl in a tank top and jean capris stands on railroad tracks .
1303727066_23d0f6ed43.jpg,A dark haired bearded man wearing a turquoise shirt with a yellow peace sign on it .
1303727828_d1052ee341.jpg,A man in a feather hat looking down .
1304100320_c8990a1539.jpg,The two dogs are running through a field of flowers .
1304961697_76b86b0c18.jpg,Two children on surfboards wave to each other .
1305564994_00513f9a5b.jpg,A man in street racer armor is examining the tire of another racer 's motorbike .
1306145560_1e37081b91.jpg,A black dog carries an orange tennis ball in his mouth as he swims .
1307635496_94442dc21a.jpg,A boy wearing black sandals runs along the grass .
1308472581_9961782889.jpg,a boy in blue shirt splashing in water under a dock
1308617539_54e1a3dfbe.jpg,A boy is jumping from a body board into the ocean .
1309330801_aeeb23f1ee.jpg,One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air .
1311132744_5ffd03f831.jpg,A black and grey dog runs in a field with its tongue hanging out .
1311388430_4ab0cd1a1f.jpg,A person hanging from a telephone pole near the mountains .
1312020846_5abb4a9be2.jpg,Two little puppies chase each other on a stone wall .
1312227131_771b5ed201.jpg,dogs running on a cold but sunny morning
1312954382_cf6d70d63a.jpg,A girl in a green dress plays with a Hello Kitty balloon .
1313693129_71d0b21c63.jpg,A boy and a girl are standing on a river bank facing the water .
1313961775_824b87d155.jpg,A girl floating wearing a life vest .
1316247213_1d2c726dd5.jpg,A closeup of a little girl laughing .
131632409_4de0d4e710.jpg,A girl in a bikini walks along the beach with huge clouds and a sandy beach behind her .
1317292658_ba29330a0b.jpg,a boy enjoys a rain shower .
1319634306_816f21677f.jpg,A brown dog is sitting in some long grass .
1321723162_9d4c78b8af.jpg,A little girl holding hands with her ice skating instructor .
1321949151_77b77b4617.jpg,A little boy and a little girl are lying on a black bench surrounded by adults .
1322323208_c7ecb742c6.jpg,A boy and a girl playing on the beach .
1324816249_86600a6759.jpg,A brown dog stands in a lush field with the stunning clouds and mountains behind it .
132489044_3be606baf7.jpg,A man sleeping with a bag on his lap on public transportation
1329832826_432538d331.jpg,"People stand on a street corner at dusk , with a pharmacy in the background ."
1330645772_24f831ff8f.jpg,A black and white dog is running in the grass .
133189853_811de6ab2a.jpg,"A man wearing a tuxedo shirt , vest , and bow-tie is kissing another man wearing the same thing on the cheek ."
1332208215_fa824f6659.jpg,A man in glasses and an Asian woman are seated across from each other in a subway train .
1332492622_8c66992b62.jpg,A group of people stand on a balcony near a colorful circus building .
1332722096_1e3de8ae70.jpg,Three women standing on a city street .
1332815795_8eea44375e.jpg,A baby swings in a swing near a wooden fence .
1332823164_c70a5d930e.jpg,A girl standing in the ocean
1333888922_26f15c18c3.jpg,A brown-haired child in green shoes swings on a swing in a park near the woods .
1334892555_1beff092c3.jpg,The girls are playing with foam swords .
1335617803_4fbc03dab0.jpg,The two children make a funny pose in front of some bushes .
1337792872_d01a390b33.jpg,A girls walks down the road holding a teddy bear .
1338523142_57fce8229b.jpg,A backpacker walks down a rocky mountain .
133905560_9d012b47f3.jpg,A puppy plays with an adult dog in the snow .
1339596997_8ac29c1841.jpg,three females wearing head scarves standing together
1341787777_4f1ebb1793.jpg,A brown dog is bending down trying to drink from a jet of water .
1342766791_1e72f92455.jpg,A boy pushing another boy up a pole .
1342780478_bacc32344d.jpg,A man in a dress shirt and tie is standing in front of a sign selling donuts .
1343426964_cde3fb54e8.jpg,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .
1346051107_9cdc14e070.jpg,A man is playing a saxophone next to a fire hydrant .
1346529555_e916816cfe.jpg,A dog in midair cathing the red ball .
134724228_30408cd77f.jpg,Two girls are walking down a dirt road in a park .
1347519824_e402241e4f.jpg,A few girls with green foam statue of liberty hats on a train
1348113612_5bfc5f429e.jpg,A black and white dog jumping into a pool after tennis balls .
1348304997_afe60a61df.jpg,A barefoot red-headed girl jumping over a rail .
1348891916_ebd4413033.jpg,A brown dog on a leash runs through the white water .
134894450_dadea45d65.jpg,A boy wearing no shirt and some blue jeans is jumping in the air in the woods .
1348947380_14f0fc1237.jpg,A man and a dog stand on a hill overlooking water .
1348957576_c4a78eb974.jpg,A blonde woman in a white tank top and sunglasses is talking to a man sitting next to boats on a rock surface .
1350811702_2ce7cfd0c5.jpg,A young boy casting his fishing line off a pier
1350948838_fdebe4ff65.jpg,A black and white dog jumping into a pool .
1351315701_6580b51c41.jpg,A black and a white dog are running on the grass .
1351764581_4d4fb1b40f.jpg,A firefighter extinguishes a fire under the hood of a car .
135235570_5698072cd4.jpg,A man in a field backed by american flags .
1352398363_9cc8ffcce9.jpg,A boy is covered with marker .
1352410176_af6b139734.jpg,A blonde girl is stepping on vertical logs in the sand .
1354318519_2f9baed754.jpg,A baby is laughing .
1355450069_c0675b0706.jpg,A man is climbing up a wall
1355703632_5683a4b6fb.jpg,A female softball player making a pitch .
1355833561_9c43073eda.jpg,A child is being thrown in the air playfully .
1355935187_2c99648138.jpg,A fluffy white dog is coming out of a blue striped obstacle shute .
1355945307_f9e01a9a05.jpg,A man drives an old-fashioned red race car .
1356543628_c13ebe38fb.jpg,A girl carries a lot through the grass .
1356796100_b265479721.jpg,A girl in a flowered dress peaking through some leaves .
1357689954_72588dfdc4.jpg,A boy is attempting to rock-climb a prefabricated wall .
1357724865_4faf4e1418.jpg,A half-dressed man walks into a river at the bottom of a small waterfall .
1357753846_6185e26040.jpg,"A big , black dog runs through the water , near the shore ."
1358089136_976e3d2e30.jpg,A boy sand surfing down a hill
1358892595_7a37c45788.jpg,A dog runs through the forest with something in its mouth .
1359101233_16c2c150e3.jpg,a dog in a red jacket is running on the grass .
1361420539_e9599c60ae.jpg,A black dog is running in the grass .
1362128028_8422d53dc4.jpg,kids play in a blue tub full of water outside
1363843090_9425d93064.jpg,A black dog retrieves a cloth from a streambed .
1363924449_487f0733df.jpg,A boy holds his hands on his head .
136552115_6dc3e7231c.jpg,A helmeted man jumping off a rock on a mountain bike .
136639119_6040b00946.jpg,A climber is attempting to climb around an overhang above the woods .
136644343_0e2b423829.jpg,A boy rides on a tire swing .
136644885_f7d2bbf546.jpg,A group of people walking across a rope bridge .
1368338041_6b4077ca98.jpg,Three dogs looking at a cement ledge .
1368383637_614646cc4a.jpg,People stand in corridor looking from balcony as another person walks dog
136886677_6026c622eb.jpg,A large man sits in the back of a canoe with another man in front on a river .
1370615506_2b96105ca3.jpg,A wine shop with an open sign in the window and two people out front .
1370773415_967b1ffde1.jpg,A man and a woman standing outside a restaurant .
1377668044_36398401dd.jpg,A dog jumping in the air to retrieve a stick from a man .
1378557186_4bd1da6834.jpg,"A man , a gun , and a dog ."
1379026456_153fd8b51b.jpg,A man sits at a table in front of a computer wearing headphones .
1383698008_8ac53ed7ec.jpg,A man is snowboarding over a structure on a snowy hill .
1383840121_c092110917.jpg,A brown dog laying on a blue cover .
1384292980_4022a7520c.jpg,The girls walk down the street .
1386251841_5f384a0fea.jpg,"A woman is looking at dressed , headless mannequins in a store display ."
1386964743_9e80d96b05.jpg,a boy is playing with a camera whilst standing on a dirt track .
138705546_be7a6845dd.jpg,Two girls looking out over a lake towards a man fishing .
138718600_f430ebca17.jpg,Two bicycles are standing behind two people sitting on the grass near a body of water .
1387443857_602ab6f9bf.jpg,An old man is sitting on a stone bench .
1387461595_2fe6925f73.jpg,men are standing beside a stonesign
1387785218_cee67735f5.jpg,A child pushes a doll in a baby carriage .
1388346434_524d0b6dfa.jpg,"A man , leaning against a concrete wall with his arms resting on top , looks over a balcony ."
1388373425_3c72b56639.jpg,A woman in a black shirt is sitting next to a florescent green bag .
1388970365_162edcceb4.jpg,A brown dog and two black dogs in an overgrown grassy field .
1389264266_8170bc1c54.jpg,A girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her .
1389323170_d1c81d6b51.jpg,a lone woman sitting on an usual green bench with a cup in her hand
1389651420_8d95d8f6ed.jpg,A boy stands beside a railing at a go kart track .
1390268323_2c8204e91c.jpg,Two children climb into the back of a vehicle from the front seat .
1392272228_cf104086e6.jpg,A black dog carrying an object out of the water .
1394368714_3bc7c19969.jpg,A dog waits as his owner rummages through a collection of stuff .
1394396709_65040d97ab.jpg,A brown dog carrying a black object .
1394599090_fe0ba238f0.jpg,A father and a child are playing in the pool
1394620454_bf708cc501.jpg,A boy with glasses is standing on top of a rocky peak with hands in his pockets .
